adjacents,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some newcomers need to contact a real person,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']","['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']","['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,,,,,,,,,,,,,,,,,,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,
Documentation Outdated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Overload,,,,,,,,,,,,,,,,,,"['(Barriers 9, row 5) The available information on the website are long and confusing.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ']",,"['(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ']",,,,,,"['(Barriers 6, row 8) I stopped my reading when the “Preparing Patches” section begins. I intend to finish reading the Wiki later this week, because in the next monday I plan to start contributing. I am feeling good about the readings, but I feel that I need to do it faster if I want to contribute with code.']",,"['(Barriers 6, row 8) I stopped my reading when the “Preparing Patches” section begins. I intend to finish reading the Wiki later this week, because in the next monday I plan to start contributing. I am feeling good about the readings, but I feel that I need to do it faster if I want to contribute with code.', '(Barriers 9, row 5) The available information on the website are long and confusing.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ']",,,
Documentation Unclear,,,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']","['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.']",,,,,,"['(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",,,,,,,"['(Barriers 9, row 5) The available information on the website are long and confusing.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ']",,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']","['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.', '(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']","['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.']","['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.']","['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.', '(Barriers 9, row 5) The available information on the website are long and confusing.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,"['(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",
Documentation Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation General,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 22) Each of the 97 bugs in the list has a very short description, with very few words, this is bad because it is not possible to filter the bugs according to what can be easy, medium difficult or impossible to do. ']",,"['(Barriers 9, row 10) OK. There’s a Community link, in this link there are mailing lists for certain issues to be discussed. I believe that it is necessary to register in the Community before attempting to make any contact. Is this the moment to get in touch? (Question to the class monitor)', '(Barriers 9, row 12) As much as I read the site, I do not found access to the project, issues and development process. But only recently released versions.\n', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,,,,,"['(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ']","['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.']","['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n']",,"['(Barriers 7, row 11) Today is Monday, and I keep with the same LibreOffice compilation problem. Even searching on Google, I don’t find a solution. Initially, the compiling process supposedly worked well, but I’m not sure, because it is taking a long time to finish. I left the notebook on and went to my bed.', '(Barriers 9, row 8) VIM was installed on Ubuntu, but I was not using the website information. As mentioned before, the page with installation descriptions is also bad. ', '(Barriers 9, row 12) As much as I read the site, I do not found access to the project, issues and development process. But only recently released versions.\n', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 22) Each of the 97 bugs in the list has a very short description, with very few words, this is bad because it is not possible to filter the bugs according to what can be easy, medium difficult or impossible to do. ', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,"['(Barriers 9, row 10) OK. There’s a Community link, in this link there are mailing lists for certain issues to be discussed. I believe that it is necessary to register in the Community before attempting to make any contact. Is this the moment to get in touch? (Question to the class monitor)']",
Building workspace locally,,,,,,,,,,"['(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",,,,,,,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.', '(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.']",,,,,,"['(Barriers 7, row 10) After letting the code compiling over the night, when I woke up, I saw that everything has been compiled correctly. But, when I tried to execute it again today, using the following command ‘$ instdir/program/soffice --writer’, an error appeared: ‘bash: instdir/program/soffice: File or folder not found’. I don’t know what is exactly happening, I feel a bit lost.']",,,,"['(Barriers 7, row 7) Today, after reinstalling the entire operating system (now using the latest version of Xubuntu), I reinstalled all the dependencies, and started the download of the source code. However, as people warned me, there is a long wait until the whole process is completed, I started 4 hours ago and at the moment the progress is still 51%.', '(Barriers 7, row 8) After a few hours, the process was finished, however, when I started the setup process, I couldn’t continue because there were dependencies that had not been installed. I installed the missing dependencies, and I resumed the compilation. During the process (around 4 AM) I realize that it is still far from over, so I leaved the notebook on, and went to sleep. ', '(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",
Lack of information on how to send a contribution,,,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,,,,,,,,,,,,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,,,,,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,
Getting contribution accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue to create a patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
